@@@@@@@@@@@ vid 273, ts: 1694078534000 | [AELJ] :-2147483645 | [APVN] :-2147483647 | [AXXB] :ME%o;wocIskYskM;,A(6%/;Q;o2AwAIoQk=6YQ6 | [BJSS] :-2147483647 | [BRMN] :144571.381036 | [BYQH] :1486224 | [CJMA] :7135762 | [CMGV] :4 | [CTEI] :6 | [CTYC] :-71324942 | [DEKG] :-3179 | [DHJE] :44560386 | [EVXL] :-1 | [EXAS] :-10233 | [FPFF] :4810 | [GDFW] :8 | [HQBX] :-2147483646 | [IJKG] :-4455527 | [IYMN] :RIGHT | [JENI] :-113627 | [JUFJ] :16281.691316 | [JUMF] :457358 | [JXOS] :-7125133 | [JYXY] :4736295 | [KSSM] :-884190.413058 | [MJBX] :-907965 | [MQXF] :13507793 | [MXVL] :-31054 | [OCCI] :424412 | [OGOM] :-2429 | [OKTM] :0 | [PLNE] :889547 | [QCBJ] :]E | [QYZI] :SUCCESS | [RHCS] :6072 | [RJUR] :x | [RNSE] :25178 | [RXBA] :-709266 | [SBNJ] :66028652.916827 | [SCSF] :-24223 | [SGMS] :93731.358863 | [SUTP] :4&yOqSWCeueW[WKK4CS\a#C#W'-[GuSOO[qei\0Kmy\a\0-SymiGeW'GeiSOmWeG#e[4SG.[O-ui&'CaGiO80\Cu-q#u&mqyK.8O | [UPNT] :-57429 | [VDIK] :S | [VEOD] :7305298.162771 | [VHQI] :8918139.519503 | [VKYF] :2577 | [VOTU] :26831.316698 | [VRCM] :86207 | [VZWB] :-2692 | [WLZH] :5769.778077 | [WVKX] :8819 | [WZVQ] :wEM(]%/E%Qc/6!; | [XZGR] :2 | [YCFN] :!g2s,;,c;]UEM=!;/QoEw;kgccE6so | [YGOI] :-2147483645 | [YHSA] :8902454 | [YQGL] :25661.638499 | [YVEN] :14796 | [ZXTE] :33038 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078545000 | [AELJ] :-2147483647 | [APVN] :-2147483647 | [AXXB] :I;=;=]/%s]AMEkI;%wgQU===AgUc/IIQ | [BJSS] :-2147483646 | [BRMN] :144580.558475 | [BYQH] :1167792 | [CJMA] :7289428 | [CMGV] :2 | [CTEI] :6 | [CTYC] :-72861606 | [DEKG] :-3198 | [DHJE] :45520802 | [EVXL] :-1 | [EXAS] :-10137 | [FPFF] :4378 | [GDFW] :8 | [HQBX] :-2147483645 | [IJKG] :-4551569 | [IYMN] :RIGHT | [JENI] :-115548 | [JUFJ] :16283.757122 | [JUMF] :466962 | [JXOS] :-7278799 | [JYXY] :5917863 | [KSSM] :-903398.719906 | [MJBX] :-927173 | [MQXF] :36689361 | [MXVL] :-31246 | [OCCI] :434016 | [OGOM] :-2410 | [OKTM] :0 | [PLNE] :908755 | [QCBJ] :w; | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :26746 | [RXBA] :-724632 | [SBNJ] :66034547.808897 | [SCSF] :-25184 | [SGMS] :95652.189548 | [SUTP] :a&G48W-aCCuKWWGKKy-y-WueGK#aiCS&WSq.i-S#a\OG0qCKaGmWq[&'C#e[#.O&0y[Su'4iOyyyWeSq#SOi[0yS0[04-y4imWO& | [UPNT] :-58966 | [VDIK] :O | [VEOD] :7305887.651978 | [VHQI] :9110222.587987 | [VKYF] :4145 | [VOTU] :26833.237529 | [VRCM] :87744 | [VZWB] :-1124 | [WLZH] :5769.837026 | [WVKX] :16739 | [WZVQ] :s;U,((wcYks]E!] | [XZGR] :2 | [YCFN] :gg!IM,(%%U!sk=s;(MQoc%cMMUw=,= | [YGOI] :-2147483645 | [YHSA] :2084022 | [YQGL] :25469.555430 | [YVEN] :16364 | [ZXTE] :33230 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078546000 | [AELJ] :-2147483647 | [APVN] :-2147483647 | [AXXB] :=Y]I(oI]Qk6!EY=w]YI(wcoMs]A6%2gI] | [BJSS] :-2147483646 | [BRMN] :144580.842365 | [BYQH] :215088 | [CJMA] :7308788 | [CMGV] :3 | [CTEI] :9 | [CTYC] :-73055209 | [DEKG] :-3200 | [DHJE] :45641804 | [EVXL] :-1 | [EXAS] :-10125 | [FPFF] :5674 | [GDFW] :9 | [HQBX] :-2147483645 | [IJKG] :-4563669 | [IYMN] :RIGHT | [JENI] :-115790 | [JUFJ] :16283.821024 | [JUMF] :468172 | [JXOS] :-7298159 | [JYXY] :4965159 | [KSSM] :-905818.756172 | [MJBX] :-929593 | [MQXF] :21736657 | [MXVL] :-31270 | [OCCI] :435226 | [OGOM] :-2408 | [OKTM] :0 | [PLNE] :911175 | [QCBJ] :!Y | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :24042 | [RXBA] :-726568 | [SBNJ] :66034730.158224 | [SCSF] :-25305 | [SGMS] :95894.193175 | [SUTP] :O.KieKq00008..-&.0W0W&08[4Sq[Wq8[48y88[Wq-y4u'Ceie.0&W#m-eW'C[-OSme\#quCyiCGm-uWSyW0[aaO-OG\OeG[KKae | [UPNT] :-59159 | [VDIK] :\ | [VEOD] :7305905.886911 | [VHQI] :9134422.950648 | [VKYF] :3441 | [VOTU] :26833.479533 | [VRCM] :87937 | [VZWB] :-3828 | [WLZH] :5769.838849 | [WVKX] :14035 | [WZVQ] :6YYM%g62=IYY(kA | [XZGR] :3 | [YCFN] :U%%]=wo]/(cQYw6!E%(Q(UIcE%c/wc | [YGOI] :-2147483645 | [YHSA] :9647670 | [YQGL] :25445.355068 | [YVEN] :23660 | [ZXTE] :33254 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078547000 | [AELJ] :-2147483646 | [APVN] :-2147483645 | [AXXB] :c;6/6g%/UkwoAUcYw!6%!(Isg/;6gwo( | [BJSS] :-2147483645 | [BRMN] :144570.265757 | [BYQH] :228560 | [CJMA] :7329045 | [CMGV] :3 | [CTEI] :2 | [CTYC] :-73257776 | [DEKG] :-3203 | [DHJE] :45768408 | [EVXL] :-1 | [EXAS] :-10112 | [FPFF] :4146 | [GDFW] :4 | [HQBX] :-2147483647 | [IJKG] :-4576329 | [IYMN] :RIGHT | [JENI] :-116043 | [JUFJ] :16281.440271 | [JUMF] :469438 | [JXOS] :-7318416 | [JYXY] :4978631 | [KSSM] :-908350.842693 | [MJBX] :-932125 | [MQXF] :39233777 | [MXVL] :-31296 | [OCCI] :436492 | [OGOM] :-2405 | [OKTM] :1 | [PLNE] :913707 | [QCBJ] :QQ | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :27514 | [RXBA] :-728594 | [SBNJ] :66027936.545907 | [SCSF] :-25431 | [SGMS] :96147.401827 | [SUTP] :uCq#'&iyq0qmS'aeGmGW.S-\#&W4qqye'080W4[4Kua0yW&C.\[-uWKCOyi[-Geu80SOu4W-OK.-'euq4'uS#y.aa\uy[Oaaa\uC | [UPNT] :-59362 | [VDIK] :i | [VEOD] :7305226.525679 | [VHQI] :9159743.815852 | [VKYF] :2913 | [VOTU] :26833.732741 | [VRCM] :88140 | [VZWB] :-356 | [WLZH] :5769.770913 | [WVKX] :11155 | [WZVQ] :]QEc2/YA]IocAgU | [XZGR] :1 | [YCFN] :A6gQwoUYc(6,gsAY%]c/sw2=s]6/ck | [YGOI] :-2147483646 | [YHSA] :7144790 | [YQGL] :25420.034202 | [YVEN] :17132 | [ZXTE] :33280 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078548000 | [AELJ] :-2147483645 | [APVN] :-2147483645 | [AXXB] :,M!YgcY/UA=6]2,AcAoAA/2gEwk((Q(2I/gck/M | [BJSS] :-2147483647 | [BRMN] :144570.540929 | [BYQH] :502448 | [CJMA] :7350198 | [CMGV] :3 | [CTEI] :2 | [CTYC] :-73469301 | [DEKG] :-3206 | [DHJE] :45900611 | [EVXL] :-1 | [EXAS] :-10099 | [FPFF] :5034 | [GDFW] :2 | [HQBX] :-2147483646 | [IJKG] :-4589550 | [IYMN] :RIGHT | [JENI] :-116308 | [JUFJ] :16281.502211 | [JUMF] :470760 | [JXOS] :-7339569 | [JYXY] :3752519 | [KSSM] :-910994.910049 | [MJBX] :-934769 | [MQXF] :32524017 | [MXVL] :-31322 | [OCCI] :437814 | [OGOM] :-2402 | [OKTM] :1 | [PLNE] :916351 | [QCBJ] :IM | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :26402 | [RXBA] :-730709 | [SBNJ] :66028113.295853 | [SCSF] :-25564 | [SGMS] :96411.808563 | [SUTP] :m[u['yG#4C&4ea'-mCCi0#a&KaCC\KC\G#aO8KG-yOu-\C[8.KG[-C08[CuO-0.KmGii0yyq#mG8ia\4G[y4qi4\Squyim&mG-e- | [UPNT] :-59574 | [VDIK] :0 | [VEOD] :7305244.200674 | [VHQI] :9186184.489415 | [VKYF] :2801 | [VOTU] :26833.997148 | [VRCM] :88352 | [VZWB] :-6468 | [WLZH] :5769.772681 | [WVKX] :11395 | [WZVQ] :E/Io2U=%]Y%g]%M | [XZGR] :2 | [YCFN] :soYc!!E/c,s/6A(AUQY/I;=!Qk]k%; | [YGOI] :-2147483646 | [YHSA] :435030 | [YQGL] :25393.593529 | [YVEN] :21020 | [ZXTE] :33306 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078549000 | [AELJ] :-2147483645 | [APVN] :-2147483645 | [AXXB] :,Y=/c6,Uo/k]sAgM(62MI,sQ/UQYEck62cU=] | [BJSS] :-2147483647 | [BRMN] :144570.106216 | [BYQH] :295952 | [CJMA] :7372245 | [CMGV] :2 | [CTEI] :8 | [CTYC] :-73689779 | [DEKG] :-3208 | [DHJE] :46038410 | [EVXL] :-1 | [EXAS] :-10085 | [FPFF] :5538 | [GDFW] :1 | [HQBX] :-2147483646 | [IJKG] :-4603330 | [IYMN] :RIGHT | [JENI] :-116583 | [JUFJ] :16281.404359 | [JUMF] :472138 | [JXOS] :-7361616 | [JYXY] :3546023 | [KSSM] :-913750.885753 | [MJBX] :-937525 | [MQXF] :22317521 | [MXVL] :-31350 | [OCCI] :439192 | [OGOM] :-2400 | [OKTM] :1 | [PLNE] :919107 | [QCBJ] :=Y | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :24906 | [RXBA] :-732914 | [SBNJ] :66027834.069220 | [SCSF] :-25701 | [SGMS] :96687.406133 | [SUTP] :0.-#CC&-yae[K#e'\8&8884me[8iO.uG0q\-KKW-i4qiqC&u['uG0'iaa\-GumuG[yWCG4'q.\imqyK#4S[eG\&#aay[8u&WGi&K | [UPNT] :-59794 | [VDIK] :a | [VEOD] :7305216.278011 | [VHQI] :9213744.246451 | [VKYF] :4305 | [VOTU] :26834.272746 | [VRCM] :88572 | [VZWB] :-2964 | [WLZH] :5769.769888 | [WVKX] :14899 | [WZVQ] :(Y,c/Ys=UwcA6MY | [XZGR] :1 | [YCFN] :6%!Q6%%U!6g6M/EMw=/kQMMgkIs;]; | [YGOI] :-2147483646 | [YHSA] :7712182 | [YQGL] :25366.033772 | [YVEN] :14524 | [ZXTE] :33334 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078550000 | [AELJ] :-2147483646 | [APVN] :-2147483646 | [AXXB] :wo2/,Uw!]2,Ag(6]]E;IsY2=2UI=w/ | [BJSS] :-2147483645 | [BRMN] :144572.620346 | [BYQH] :530608 | [CJMA] :7395188 | [CMGV] :3 | [CTEI] :1 | [CTYC] :-73919204 | [DEKG] :-3211 | [DHJE] :46181800 | [EVXL] :-1 | [EXAS] :-10071 | [FPFF] :6194 | [GDFW] :3 | [HQBX] :-2147483647 | [IJKG] :-4617669 | [IYMN] :RIGHT | [JENI] :-116870 | [JUFJ] :16281.970280 | [JUMF] :473572 | [JXOS] :-7384559 | [JYXY] :5280679 | [KSSM] :-916618.694247 | [MJBX] :-940393 | [MQXF] :36052177 | [MXVL] :-31378 | [OCCI] :440626 | [OGOM] :-2397 | [OKTM] :-1 | [PLNE] :921975 | [QCBJ] :ko | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :24562 | [RXBA] :-735208 | [SBNJ] :66029448.955880 | [SCSF] :-25845 | [SGMS] :96974.186982 | [SUTP] :\0m#u&e..e\y#4eGWG4qSyaeuy0GGSO[[m.aKS#ea&aSK4OSW\'008O'SCGS0.-m8KW#4&#'yG8C'G.4.i.-mmua.yi-e&#\'G[u | [UPNT] :-60023 | [VDIK] :C | [VEOD] :7305377.766677 | [VHQI] :9242422.331397 | [VKYF] :2961 | [VOTU] :26834.559527 | [VRCM] :88801 | [VZWB] :1692 | [WLZH] :5769.786037 | [WVKX] :9555 | [WZVQ] :g%Ac;/U/6]]oUEk | [XZGR] :3 | [YCFN] :,;QQYoc!=!EgAQ;];UA6AcwMAIkosM | [YGOI] :-2147483647 | [YHSA] :1446838 | [YQGL] :25337.355687 | [YVEN] :19180 | [ZXTE] :33362 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078551000 | [AELJ] :-2147483646 | [APVN] :-2147483646 | [AXXB] :EY%%A6M6MUw%ggAQgI=%kY!(w/,k=; | [BJSS] :-2147483645 | [BRMN] :144572.760955 | [BYQH] :1393072 | [CJMA] :7419024 | [CMGV] :2 | [CTEI] :4 | [CTYC] :-74157569 | [DEKG] :-3214 | [DHJE] :46330779 | [EVXL] :-1 | [EXAS] :-10056 | [FPFF] :4658 | [GDFW] :6 | [HQBX] :-2147483647 | [IJKG] :-4632566 | [IYMN] :RIGHT | [JENI] :-117168 | [JUFJ] :16282.001930 | [JUMF] :475062 | [JXOS] :-7408395 | [JYXY] :4643143 | [KSSM] :-919598.256910 | [MJBX] :-943372 | [MQXF] :29414641 | [MXVL] :-31408 | [OCCI] :442116 | [OGOM] :-2394 | [OKTM] :-1 | [PLNE] :924954 | [QCBJ] :sY | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :27026 | [RXBA] :-737592 | [SBNJ] :66029539.272585 | [SCSF] :-25994 | [SGMS] :97272.143249 | [SUTP] :..yO0CuGWWq##Sy.qK.WKyiaC&m8'[8i&&[#8'-W&0aK\#&G#K'GWuGC\K.&&-amuqKCe0.COe4i#44#'e\..uu'''0Kuaq0KyW# | [UPNT] :-60262 | [VDIK] :K | [VEOD] :7305386.798347 | [VHQI] :9272217.958028 | [VKYF] :3425 | [VOTU] :26834.857483 | [VRCM] :89040 | [VZWB] :-5844 | [WLZH] :5769.786940 | [WVKX] :12019 | [WZVQ] :oYM(wY!I(Eo2U6( | [XZGR] :3 | [YCFN] :c%2sE%s6,o6UA(YQkYs/6Q;II]!Q(E | [YGOI] :-2147483647 | [YHSA] :4809302 | [YQGL] :25307.560060 | [YVEN] :21644 | [ZXTE] :33392 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078552000 | [AELJ] :-2147483647 | [APVN] :-2147483646 | [AXXB] :MQ;I=k=/;MoM;M(MUMs/2!sg6%/;AoUswAEY==g | [BJSS] :-2147483646 | [BRMN] :144568.721149 | [BYQH] :1175344 | [CJMA] :7443754 | [CMGV] :4 | [CTEI] :4 | [CTYC] :-74404868 | [DEKG] :-3217 | [DHJE] :46485340 | [EVXL] :-1 | [EXAS] :-10041 | [FPFF] :5930 | [GDFW] :6 | [HQBX] :-2147483645 | [IJKG] :-4648023 | [IYMN] :RIGHT | [JENI] :-117477 | [JUFJ] :16281.092586 | [JUMF] :476608 | [JXOS] :-7433125 | [JYXY] :4425415 | [KSSM] :-922689.492056 | [MJBX] :-946464 | [MQXF] :23196913 | [MXVL] :-31439 | [OCCI] :443662 | [OGOM] :-2391 | [OKTM] :-1 | [PLNE] :928046 | [QCBJ] :]Q | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :24298 | [RXBA] :-740065 | [SBNJ] :66026944.406543 | [SCSF] :-26148 | [SGMS] :97581.266763 | [SUTP] :4CO8i-q#aOiKi[&'qOG-\[4&ye4\Ki4SuO#WGua&C-\u#K&#'y.ymuiiCeG#4a\.\C\[[-'4Ou-y&Ce8y.'q4&i#qmu&yy\emeKm | [UPNT] :-60509 | [VDIK] :S | [VEOD] :7305127.311743 | [VHQI] :9303130.309482 | [VKYF] :3697 | [VOTU] :26835.166606 | [VRCM] :89287 | [VZWB] :-3572 | [WLZH] :5769.760992 | [WVKX] :7939 | [WZVQ] :wQc/(c6%w!g]E/w | [XZGR] :3 | [YCFN] :!6(M]s2/MgYskkcMY22!!2M!Eo%ww2 | [YGOI] :-2147483647 | [YHSA] :8591574 | [YQGL] :25276.647709 | [YVEN] :23916 | [ZXTE] :33423 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078553000 | [AELJ] :-2147483646 | [APVN] :-2147483646 | [AXXB] :2,%A%]Q];;wkY;=2AIU,6w]E/IMs6;I | [BJSS] :-2147483645 | [BRMN] :144569.138748 | [BYQH] :182416 | [CJMA] :7469377 | [CMGV] :1 | [CTEI] :1 | [CTYC] :-74661094 | [DEKG] :-3220 | [DHJE] :46645482 | [EVXL] :-1 | [EXAS] :-10025 | [FPFF] :6002 | [GDFW] :3 | [HQBX] :-2147483647 | [IJKG] :-4664037 | [IYMN] :RIGHT | [JENI] :-117798 | [JUFJ] :16281.186586 | [JUMF] :478209 | [JXOS] :-7458748 | [JYXY] :3432487 | [KSSM] :-925892.314936 | [MJBX] :-949667 | [MQXF] :40203985 | [MXVL] :-31471 | [OCCI] :445263 | [OGOM] :-2388 | [OKTM] :-1 | [PLNE] :931249 | [QCBJ] :Q, | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :26370 | [RXBA] :-742627 | [SBNJ] :66027212.640785 | [SCSF] :-26309 | [SGMS] :97901.549051 | [SUTP] :uGyaaWy0a'qi&C-iKKu&'.yae#4q&[Su&SaCOmiKmu&G88Ca\0Giq&-#C\qO8&\yWS\eC\i4&e8[-'-Wqeqa\ueuem8GumuS0uC- | [UPNT] :-60765 | [VDIK] :8 | [VEOD] :7305154.135167 | [VHQI] :9335158.538281 | [VKYF] :2769 | [VOTU] :26835.486889 | [VRCM] :89543 | [VZWB] :-6500 | [WLZH] :5769.763674 | [WVKX] :11363 | [WZVQ] :M,M;!(%2wooYYcA | [XZGR] :3 | [YCFN] :A!o((,w]MY6Q(262(Y;6o%g,kwoYo( | [YGOI] :-2147483647 | [YHSA] :5598646 | [YQGL] :25244.619480 | [YVEN] :20988 | [ZXTE] :33455 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078554000 | [AELJ] :-2147483647 | [APVN] :-2147483646 | [AXXB] :!];U!E]sI=o=,wAY%MQskIIgI!QMko(EwcUooQIs | [BJSS] :-2147483646 | [BRMN] :144571.679285 | [BYQH] :1464688 | [CJMA] :7495891 | [CMGV] :3 | [CTEI] :1 | [CTYC] :-74926240 | [DEKG] :-3224 | [DHJE] :46811198 | [EVXL] :-1 | [EXAS] :-10008 | [FPFF] :4274 | [GDFW] :3 | [HQBX] :-2147483645 | [IJKG] :-4680608 | [IYMN] :RIGHT | [JENI] :-118129 | [JUFJ] :16281.758450 | [JUMF] :479866 | [JXOS] :-7485262 | [JYXY] :3214759 | [KSSM] :-929206.637743 | [MJBX] :-952981 | [MQXF] :33986257 | [MXVL] :-31504 | [OCCI] :446920 | [OGOM] :-2384 | [OKTM] :-1 | [PLNE] :934563 | [QCBJ] :Y] | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :23642 | [RXBA] :-745279 | [SBNJ] :66028844.489116 | [SCSF] :-26474 | [SGMS] :98232.981332 | [SUTP] :\yOuWau'Syi-m8yS[O4O.i-CaO8.ui\euq\0#\Cq#O4qSGCGiOKaG&W'&i0K.K&8qe-miie'&-yO[4u'W.8uW&'aC'&yy[GWCOq- | [UPNT] :-61031 | [VDIK] :& | [VEOD] :7305317.320000 | [VHQI] :9368301.766356 | [VKYF] :3041 | [VOTU] :26835.818321 | [VRCM] :89809 | [VZWB] :-4228 | [WLZH] :5769.779993 | [WVKX] :13635 | [WZVQ] :U]cYsw!,%ggwII( | [XZGR] :3 | [YCFN] :,2(/AM6s;QYooUk/s2];s]c!UYs(gc | [YGOI] :-2147483647 | [YHSA] :9380918 | [YQGL] :25211.476252 | [YVEN] :23260 | [ZXTE] :33488 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078555000 | [AELJ] :-2147483645 | [APVN] :-2147483645 | [AXXB] :2(EcQs2]=Y]/Y%s;g(;c,==U(wM/;M=,AI | [BJSS] :-2147483647 | [BRMN] :144571.531675 | [BYQH] :446672 | [CJMA] :7523297 | [CMGV] :2 | [CTEI] :8 | [CTYC] :-75200298 | [DEKG] :-3227 | [DHJE] :46982484 | [EVXL] :-1 | [EXAS] :-9991 | [FPFF] :6258 | [GDFW] :1 | [HQBX] :-2147483646 | [IJKG] :-4697737 | [IYMN] :RIGHT | [JENI] :-118472 | [JUFJ] :16281.725224 | [JUMF] :481579 | [JXOS] :-7512668 | [JYXY] :5196743 | [KSSM] :-932632.369614 | [MJBX] :-956407 | [MQXF] :43968241 | [MXVL] :-31539 | [OCCI] :448633 | [OGOM] :-2381 | [OKTM] :1 | [PLNE] :937989 | [QCBJ] :Q( | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :25626 | [RXBA] :-748019 | [SBNJ] :66028749.676033 | [SCSF] :-26646 | [SGMS] :98575.554519 | [SUTP] :uq\C&\KmS0-.&mqK&-e[uWuqK0e.aGG8yW48'8WaqK0W-&Oy.GqqOuSCOa['y#SqOW'G.SyeG8mi'48i\aCOW['e.CKOe\ai\q8[ | [UPNT] :-61305 | [VDIK] :8 | [VEOD] :7305307.838692 | [VHQI] :9402559.085067 | [VKYF] :3025 | [VOTU] :26836.160894 | [VRCM] :90083 | [VZWB] :-2244 | [WLZH] :5769.779044 | [WVKX] :15619 | [WZVQ] :M(c6Mk]ooI(MYA! | [XZGR] :1 | [YCFN] :AUsUUAI]Esw(EMQ;k,A%cAck;!oE]A | [YGOI] :-2147483646 | [YHSA] :9362902 | [YQGL] :25177.218933 | [YVEN] :15244 | [ZXTE] :33523 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078556000 | [AELJ] :-2147483647 | [APVN] :-2147483646 | [AXXB] :]ggEUskkEsk;(E!g%w%M]]U!]2%]oo/Ew6 | [BJSS] :-2147483646 | [BRMN] :144576.410616 | [BYQH] :720976 | [CJMA] :7551594 | [CMGV] :4 | [CTEI] :1 | [CTYC] :-75483262 | [DEKG] :-3231 | [DHJE] :47159337 | [EVXL] :-1 | [EXAS] :-9973 | [FPFF] :4562 | [GDFW] :3 | [HQBX] :-2147483645 | [IJKG] :-4715422 | [IYMN] :RIGHT | [JENI] :-118825 | [JUFJ] :16282.823455 | [JUMF] :483348 | [JXOS] :-7540965 | [JYXY] :4954695 | [KSSM] :-936169.416631 | [MJBX] :-959944 | [MQXF] :35726193 | [MXVL] :-31574 | [OCCI] :450402 | [OGOM] :-2377 | [OKTM] :-1 | [PLNE] :941526 | [QCBJ] :Ag | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :24930 | [RXBA] :-750849 | [SBNJ] :66031883.538124 | [SCSF] :-26822 | [SGMS] :98929.259221 | [SUTP] :eS4e-\SKO8e\K&80[#\um0''S''[yiieu-a\&SayOqWWyG'qKm&.uO-K'[e-OGC8K0#Cq[\mi[W0KS\a[''&Gea\aamm\m8SO#0- | [UPNT] :-61588 | [VDIK] :' | [VEOD] :7305621.224901 | [VHQI] :9437929.555234 | [VKYF] :3329 | [VOTU] :26836.514599 | [VRCM] :90366 | [VZWB] :2060 | [WLZH] :5769.810383 | [WVKX] :13571 | [WZVQ] :!g(IQk,M!Qc(s;o | [XZGR] :3 | [YCFN] :k=U=YA;k]AU!/cUgsMkkIE%AYQQs!2 | [YGOI] :-2147483647 | [YHSA] :3637206 | [YQGL] :25141.848463 | [YVEN] :19548 | [ZXTE] :33558 | @@@@@@@@@@@@
@@@@@@@@@@@ vid 273, ts: 1694078557000 | [AELJ] :-2147483645 | [APVN] :-2147483645 | [AXXB] :I,cM2IUw%MQk;U;o]c];I6MIY6MEIEAQ | [BJSS] :-2147483647 | [BRMN] :144578.501955 | [BYQH] :355248 | [CJMA] :7580780 | [CMGV] :1 | [CTEI] :3 | [CTYC] :-75775123 | [DEKG] :-3234 | [DHJE] :47341750 | [EVXL] :-1 | [EXAS] :-9955 | [FPFF] :4834 | [GDFW] :5 | [HQBX] :-2147483646 | [IJKG] :-4733664 | [IYMN] :RIGHT | [JENI] :-119190 | [JUFJ] :16283.294207 | [JUMF] :485172 | [JXOS] :-7570151 | [JYXY] :4588967 | [KSSM] :-939817.681823 | [MJBX] :-963592 | [MQXF] :29360465 | [MXVL] :-31610 | [OCCI] :452226 | [OGOM] :-2374 | [OKTM] :0 | [PLNE] :945174 | [QCBJ] :=, | [QYZI] :SUCCESS | [RHCS] :6073 | [RJUR] :x | [RNSE] :24202 | [RXBA] :-753768 | [SBNJ] :66033226.856218 | [SCSF] :-27005 | [SGMS] :99294.085740 | [SUTP] :0-0#\4CW[\KiW'\8.Sa#uG[4qK4CSyKqmK\yuOuy4[m-.8iiy''uey8OC00-mSm8KOqK\i&.COi[Sa#yy-KC&O8uG[C4Cq[&'Ge8 | [UPNT] :-61879 | [VDIK] :O | [VEOD] :7305755.556710 | [VHQI] :9474412.207156 | [VKYF] :3601 | [VOTU] :26836.879425 | [VRCM] :90657 | [VZWB] :-3668 | [WLZH] :5769.823816 | [WVKX] :7843 | [WZVQ] :s,%cYA(YU!I/EgI | [XZGR] :2 | [YCFN] :6kQ;6cA=!g];ksooEswoQk6/!Uo!;( | [YGOI] :-2147483645 | [YHSA] :7271478 | [YQGL] :25105.365811 | [YVEN] :17468 | [ZXTE] :33594 | @@@@@@@@@@@@
