m[INFO] 2023-11-08 14:15:51.440606 InternalColumnArr.h:458: [INTERGER col SYMN], min: -38694403, max: -38679362, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447516 InternalColumnArr.h:458: [INTERGER col XCDQ], min: -601007, max: -600766, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447525 InternalColumnArr.h:496: [DOUBLE col XRTP], min: 77371632.082060, max: 77401714.927541, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447536 InternalColumnArr.h:458: [INTERGER col YCTI], min: 1, max: 5, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447545 InternalColumnArr.h:458: [INTERGER col YDXB], min: -7726893, max: -7723885, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447564 InternalColumnArr.h:496: [DOUBLE col ZIKG], min: 9804.801230, max: 9808.898843, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447577 InternalColumnArr.h:458: [INTERGER col ZTGP], min: 55259, max: 55274, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.447582 InternalColumnArr.h:458: [INTERGER col ZZBE], min: -24661, max: -14693, diff_cnt: 82
m[INFO] 2023-11-08 14:15:51.481414 InternalColumnArr.h:496: [DOUBLE col FQTH], min: -7704860.474393, max: -7701894.886671, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.481502 InternalColumnArr.h:496: [DOUBLE col FWKW], min: 20702.598299, max: 20702.894858, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.481669 InternalColumnArr.h:458: [INTERGER col GMNR], min: -399743, max: -399595, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.481681 InternalColumnArr.h:458: [INTERGER col GMVS], min: 12448, max: 12448, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.481685 InternalColumnArr.h:458: [INTERGER col GONE], min: -13655, max: 5976873, diff_cnt: 256
m[INFO] 2023-11-08 14:15:51.481710 InternalColumnArr.h:458: [INTERGER col HJPZ], min: -17910, max: -12918, diff_cnt: 6
m[INFO] 2023-11-08 14:15:51.481728 InternalColumnArr.h:458: [INTERGER col HRXI], min: 1, max: 9, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.481738 InternalColumnArr.h:458: [INTERGER col JCGU], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.481748 InternalColumnArr.h:458: [INTERGER col JDOE], min: -7649, max: -5665, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.481764 InternalColumnArr.h:458: [INTERGER col JHET], min: 1, max: 3, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.481801 InternalColumnArr.h:458: [INTERGER col JKZL], min: 624097, max: 624335, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.496511 InternalColumnArr.h:458: [INTERGER col KACE], min: 7729889, max: 7732855, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.496546 InternalColumnArr.h:458: [INTERGER col KFGP], min: -17998, max: -8094, diff_cnt: 116
m[INFO] 2023-11-08 14:15:51.496570 InternalColumnArr.h:458: [INTERGER col KWET], min: 17995, max: 20987, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.496593 InternalColumnArr.h:458: [INTERGER col LFZG], min: 91052, max: 91081, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.496603 InternalColumnArr.h:458: [INTERGER col LIOS], min: -31827, max: -31824, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.496630 InternalColumnArr.h:496: [DOUBLE col LMLK], min: 3766990.025066, max: 3808016.487140, diff_cnt: 2
m[INFO] 2023-11-08 14:15:51.496652 InternalColumnArr.h:496: [DOUBLE col LYLI], min: 128225.170532, max: 128863.889366, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.496672 InternalColumnArr.h:458: [INTERGER col MLBY], min: -61885479, max: -61861754, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.496689 InternalColumnArr.h:458: [INTERGER col MUBC], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.496700 InternalColumnArr.h:458: [INTERGER col NXCR], min: 3882032, max: 3883515, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.496808 InternalColumnArr.h:458: [INTERGER col OZSM], min: 386785462, max: 386933741, diff_cnt: 13
m[INFO] 2023-11-08 14:15:51.496818 InternalColumnArr.h:458: [INTERGER col PQRQ], min: 61909219, max: 61932944, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.496836 InternalColumnArr.h:496: [DOUBLE col SBXA], min: -72416.093987, max: -72386.438110, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.496871 InternalColumnArr.h:458: [INTERGER col SYMN], min: -38692888, max: -38678060, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.496887 InternalColumnArr.h:496: [DOUBLE col TEDW], min: 67085267.112154, max: 67495531.732900, diff_cnt: 47
m[INFO] 2023-11-08 14:15:51.496908 InternalColumnArr.h:458: [INTERGER col TFGW], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.496918 InternalColumnArr.h:458: [INTERGER col UAPJ], min: -6210110, max: -6207738, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.496944 InternalColumnArr.h:458: [INTERGER col UICP], min: -619078858, max: -618841611, diff_cnt: 18
m[INFO] 2023-11-08 14:15:51.496953 InternalColumnArr.h:496: [DOUBLE col UVGJ], min: 15258.798186, max: 15402.571319, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497005 InternalColumnArr.h:458: [INTERGER col WKUZ], min: -1, max: -1, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497008 InternalColumnArr.h:458: [INTERGER col WLYQ], min: -87614, max: -87585, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497016 InternalColumnArr.h:458: [INTERGER col WNHB], min: -22615, max: -12679, diff_cnt: 99
m[INFO] 2023-11-08 14:15:51.497031 InternalColumnArr.h:458: [INTERGER col XCDQ], min: -600983, max: -600745, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497041 InternalColumnArr.h:496: [DOUBLE col XRTP], min: 77369024.325573, max: 77398680.202793, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497052 InternalColumnArr.h:458: [INTERGER col YCTI], min: 1, max: 5, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497061 InternalColumnArr.h:458: [INTERGER col YDXB], min: -7726590, max: -7723624, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497084 InternalColumnArr.h:496: [DOUBLE col ZIKG], min: 9804.677272, max: 9808.779918, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497097 InternalColumnArr.h:458: [INTERGER col ZTGP], min: 55258, max: 55272, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497102 InternalColumnArr.h:458: [INTERGER col ZZBE], min: -24669, max: -14733, diff_cnt: 89
m[INFO] 2023-11-08 14:15:51.497633 InternalColumnArr.h:458: [INTERGER col KACE], min: 7730128, max: 7733151, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497680 InternalColumnArr.h:458: [INTERGER col KFGP], min: -18042, max: -8074, diff_cnt: 85
m[INFO] 2023-11-08 14:15:51.497698 InternalColumnArr.h:458: [INTERGER col KWET], min: 18031, max: 20983, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497720 InternalColumnArr.h:458: [INTERGER col LFZG], min: 91054, max: 91084, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497729 InternalColumnArr.h:458: [INTERGER col LIOS], min: -31828, max: -31825, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497756 InternalColumnArr.h:496: [DOUBLE col LMLK], min: 3768169.009505, max: 3809308.486486, diff_cnt: 2
m[INFO] 2023-11-08 14:15:51.497796 InternalColumnArr.h:496: [DOUBLE col LYLI], min: 128243.525504, max: 128884.003806, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497817 InternalColumnArr.h:458: [INTERGER col MLBY], min: -61887844, max: -61863665, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497833 InternalColumnArr.h:458: [INTERGER col MUBC], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497843 InternalColumnArr.h:458: [INTERGER col NXCR], min: 3882151, max: 3883663, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.497989 InternalColumnArr.h:458: [INTERGER col OZSM], min: 386797409, max: 386948524, diff_cnt: 12
m[INFO] 2023-11-08 14:15:51.497998 InternalColumnArr.h:458: [INTERGER col PQRQ], min: 61911130, max: 61935309, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498015 InternalColumnArr.h:496: [DOUBLE col SBXA], min: -72419.050523, max: -72388.827478, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498067 InternalColumnArr.h:458: [INTERGER col SYMN], min: -38694367, max: -38679255, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498083 InternalColumnArr.h:496: [DOUBLE col TEDW], min: 67072347.118702, max: 67483741.888504, diff_cnt: 51
m[INFO] 2023-11-08 14:15:51.498101 InternalColumnArr.h:458: [INTERGER col TFGW], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498110 InternalColumnArr.h:458: [INTERGER col UAPJ], min: -6210347, max: -6207929, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498137 InternalColumnArr.h:458: [INTERGER col UICP], min: -619102510, max: -618860726, diff_cnt: 15
m[INFO] 2023-11-08 14:15:51.498147 InternalColumnArr.h:496: [DOUBLE col UVGJ], min: 15254.270503, max: 15398.439686, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498206 InternalColumnArr.h:458: [INTERGER col WKUZ], min: -1, max: -1, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498210 InternalColumnArr.h:458: [INTERGER col WLYQ], min: -87617, max: -87587, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498219 InternalColumnArr.h:458: [INTERGER col WNHB], min: -22659, max: -12675, diff_cnt: 87
m[INFO] 2023-11-08 14:15:51.498233 InternalColumnArr.h:458: [INTERGER col XCDQ], min: -601006, max: -600764, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498245 InternalColumnArr.h:496: [DOUBLE col XRTP], min: 77371413.693888, max: 77401636.739075, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498256 InternalColumnArr.h:458: [INTERGER col YCTI], min: 1, max: 5, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498266 InternalColumnArr.h:458: [INTERGER col YDXB], min: -7726886, max: -7723863, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498315 InternalColumnArr.h:496: [DOUBLE col ZIKG], min: 9804.795170, max: 9808.909118, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498331 InternalColumnArr.h:458: [INTERGER col ZTGP], min: 55259, max: 55274, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498338 InternalColumnArr.h:458: [INTERGER col ZZBE], min: -24473, max: -14841, diff_cnt: 73
m[INFO] 2023-11-08 14:15:51.498401 InternalColumnArr.h:458: [INTERGER col AOAO], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498412 InternalColumnArr.h:458: [INTERGER col BBPX], min: 1, max: 9, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498443 InternalColumnArr.h:496: [DOUBLE col BDPO], min: 797839.053973, max: 798141.284654, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498457 InternalColumnArr.h:458: [INTERGER col BTJH], min: 3891463, max: 3892975, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498471 InternalColumnArr.h:458: [INTERGER col BZPV], min: 184069, max: 49235205, diff_cnt: 256
m[INFO] 2023-11-08 14:15:51.498485 InternalColumnArr.h:458: [INTERGER col CSRC], min: 19456, max: 9976576, diff_cnt: 256
m[INFO] 2023-11-08 14:15:51.498491 InternalColumnArr.h:458: [INTERGER col DSKQ], min: -9239, max: -9236, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498497 InternalColumnArr.h:458: [INTERGER col ENVH], min: 26530, max: 1516322, diff_cnt: 255
m[INFO] 2023-11-08 14:15:51.498513 InternalColumnArr.h:458: [INTERGER col EQLU], min: -751532, max: -751230, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498524 InternalColumnArr.h:458: [INTERGER col EXGV], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498556 InternalColumnArr.h:496: [DOUBLE col FQTH], min: -7705158.205665, max: -7702135.898854, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498591 InternalColumnArr.h:496: [DOUBLE col FWKW], min: 20702.622401, max: 20702.924631, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498755 InternalColumnArr.h:458: [INTERGER col GMNR], min: -399758, max: -399607, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498767 InternalColumnArr.h:458: [INTERGER col GMVS], min: 12448, max: 12448, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498770 InternalColumnArr.h:458: [INTERGER col GONE], min: -18979, max: 5945821, diff_cnt: 256
m[INFO] 2023-11-08 14:15:51.498796 InternalColumnArr.h:458: [INTERGER col HJPZ], min: -17906, max: -12930, diff_cnt: 8
m[INFO] 2023-11-08 14:15:51.498812 InternalColumnArr.h:458: [INTERGER col HRXI], min: 1, max: 9, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498823 InternalColumnArr.h:458: [INTERGER col JCGU], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498833 InternalColumnArr.h:458: [INTERGER col JDOE], min: -7645, max: -5661, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498852 InternalColumnArr.h:458: [INTERGER col JHET], min: 1, max: 3, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.498861 InternalColumnArr.h:458: [INTERGER col JKZL], min: 624117, max: 624358, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534438 InternalColumnArr.h:458: [INTERGER col KACE], min: 7730130, max: 7733153, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534473 InternalColumnArr.h:458: [INTERGER col KFGP], min: -17962, max: -8074, diff_cnt: 85
m[INFO] 2023-11-08 14:15:51.534494 InternalColumnArr.h:458: [INTERGER col KWET], min: 18007, max: 20983, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534515 InternalColumnArr.h:458: [INTERGER col LFZG], min: 91054, max: 91084, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534523 InternalColumnArr.h:458: [INTERGER col LIOS], min: -31828, max: -31825, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534560 InternalColumnArr.h:496: [DOUBLE col LMLK], min: 3768141.394387, max: 3809281.281875, diff_cnt: 2
m[INFO] 2023-11-08 14:15:51.534579 InternalColumnArr.h:496: [DOUBLE col LYLI], min: 128243.095580, max: 128883.580272, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534595 InternalColumnArr.h:458: [INTERGER col MLBY], min: -61887860, max: -61863682, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534608 InternalColumnArr.h:458: [INTERGER col MUBC], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534618 InternalColumnArr.h:458: [INTERGER col NXCR], min: 3882152, max: 3883664, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534744 InternalColumnArr.h:458: [INTERGER col OZSM], min: 386797513, max: 386948628, diff_cnt: 12
m[INFO] 2023-11-08 14:15:51.534754 InternalColumnArr.h:458: [INTERGER col PQRQ], min: 61911147, max: 61935325, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534794 InternalColumnArr.h:496: [DOUBLE col SBXA], min: -72419.071300, max: -72388.848232, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534827 InternalColumnArr.h:458: [INTERGER col SYMN], min: -38694377, max: -38679266, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534841 InternalColumnArr.h:496: [DOUBLE col TEDW], min: 67072619.164812, max: 67484018.039689, diff_cnt: 51
m[INFO] 2023-11-08 14:15:51.534856 InternalColumnArr.h:458: [INTERGER col TFGW], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534865 InternalColumnArr.h:458: [INTERGER col UAPJ], min: -6210348, max: -6207931, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534888 InternalColumnArr.h:458: [INTERGER col UICP], min: -619102676, max: -618860892, diff_cnt: 15
m[INFO] 2023-11-08 14:15:51.534896 InternalColumnArr.h:496: [DOUBLE col UVGJ], min: 15254.365839, max: 15398.536461, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534959 InternalColumnArr.h:458: [INTERGER col WKUZ], min: -1, max: -1, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534963 InternalColumnArr.h:458: [INTERGER col WLYQ], min: -87617, max: -87587, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534970 InternalColumnArr.h:458: [INTERGER col WNHB], min: -22659, max: -12691, diff_cnt: 87
m[INFO] 2023-11-08 14:15:51.534985 InternalColumnArr.h:458: [INTERGER col XCDQ], min: -601006, max: -600765, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.534994 InternalColumnArr.h:496: [DOUBLE col XRTP], min: 77371434.447398, max: 77401657.515509, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535004 InternalColumnArr.h:458: [INTERGER col YCTI], min: 1, max: 5, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535013 InternalColumnArr.h:458: [INTERGER col YDXB], min: -7726888, max: -7723865, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535035 InternalColumnArr.h:496: [DOUBLE col ZIKG], min: 9804.792409, max: 9808.906398, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535046 InternalColumnArr.h:458: [INTERGER col ZTGP], min: 55259, max: 55274, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535051 InternalColumnArr.h:458: [INTERGER col ZZBE], min: -24585, max: -14729, diff_cnt: 95
m[INFO] 2023-11-08 14:15:51.535102 InternalColumnArr.h:458: [INTERGER col AOAO], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535111 InternalColumnArr.h:458: [INTERGER col BBPX], min: 1, max: 9, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535122 InternalColumnArr.h:496: [DOUBLE col BDPO], min: 797839.261607, max: 798141.492517, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535132 InternalColumnArr.h:458: [INTERGER col BTJH], min: 3891464, max: 3892976, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535144 InternalColumnArr.h:458: [INTERGER col BZPV], min: 239701, max: 49695317, diff_cnt: 256
m[INFO] 2023-11-08 14:15:51.535155 InternalColumnArr.h:458: [INTERGER col CSRC], min: 42000, max: 9934608, diff_cnt: 256
m[INFO] 2023-11-08 14:15:51.535160 InternalColumnArr.h:458: [INTERGER col DSKQ], min: -9239, max: -9236, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535165 InternalColumnArr.h:458: [INTERGER col ENVH], min: 35538, max: 1505586, diff_cnt: 255
m[INFO] 2023-11-08 14:15:51.535177 InternalColumnArr.h:458: [INTERGER col EQLU], min: -751532, max: -751230, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535186 InternalColumnArr.h:458: [INTERGER col EXGV], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535210 InternalColumnArr.h:496: [DOUBLE col FQTH], min: -7705160.284294, max: -7702137.975190, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535239 InternalColumnArr.h:496: [DOUBLE col FWKW], min: 20702.622608, max: 20702.924839, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535406 InternalColumnArr.h:458: [INTERGER col GMNR], min: -399758, max: -399607, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535416 InternalColumnArr.h:458: [INTERGER col GMVS], min: 12448, max: 12448, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535434 InternalColumnArr.h:458: [INTERGER col GONE], min: 24909, max: 5938125, diff_cnt: 256
m[INFO] 2023-11-08 14:15:51.535449 InternalColumnArr.h:458: [INTERGER col HJPZ], min: -17914, max: -12978, diff_cnt: 9
m[INFO] 2023-11-08 14:15:51.535463 InternalColumnArr.h:458: [INTERGER col HRXI], min: 1, max: 9, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535472 InternalColumnArr.h:458: [INTERGER col JCGU], min: -2147483647, max: -2147483645, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535480 InternalColumnArr.h:458: [INTERGER col JDOE], min: -7645, max: -5661, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535495 InternalColumnArr.h:458: [INTERGER col JHET], min: 1, max: 3, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.535502 InternalColumnArr.h:458: [INTERGER col JKZL], min: 624117, max: 624359, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.602359 InternalColumnArr.h:458: [INTERGER col KACE], min: 7730132, max: 7733155, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.602392 InternalColumnArr.h:458: [INTERGER col KFGP], min: -18058, max: -8106, diff_cnt: 82
m[INFO] 2023-11-08 14:15:51.602410 InternalColumnArr.h:458: [INTERGER col KWET], min: 17999, max: 20983, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.602428 InternalColumnArr.h:458: [INTERGER col LFZG], min: 91054, max: 91084, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.602436 InternalColumnArr.h:458: [INTERGER col LIOS], min: -31828, max: -31825, diff_cnt: 1
m[INFO] 2023-11-08 14:15:51.602472 InternalColumnArr.h:496: [DOUBLE col LMLK], min: 3768143.129569, max: 3809294.069238, diff_cnt: 2
m[INFO] 2023-11-08 14:15:51.602490 InternalColumnArr.h:496: [DOUBLE col LYLI], min: 128243.122594, max: 128883.779352, diff_cnt: 1
